| | | [P1 M:2 W/V: 986/986 %_win: 1.00, SFB: 1.00, U: 0]
| | | [P1 M:6 W/V: 860/970 %_win: 0.89, SFB: 0.89, U: 0]
| | | | [P2 M:5 W/V: 56/309 %_win: 0.18, SFB: -1.00, U: 0]
| | | | [P2 M:2 W/V: 53/336 %_win: 0.16, SFB: -1.00, U: 0]
| | | | [P2 M:3 W/V: 0/324 %_win: 0.00, SFB: -1.00, U: 0]
| | [P2 M:6 W/V: 232/4130 %_win: 0.06, SFB: 0.00, U: 0]
| | | [P1 M:0 W/V: 918/1043 %_win: 0.88, SFB: 0.88, U: 0]
| | | | [P2 M:3 W/V: 0/364 %_win: 0.00, SFB: -1.00, U: 0]
| | | | [P2 M:2 W/V: 65/344 %_win: 0.19, SFB: -1.00, U: 0]
| | | | [P2 M:5 W/V: 60/334 %_win: 0.18, SFB: -1.00, U: 0]
| | | [P1 M:2 W/V: 1042/1042 %_win: 1.00, SFB: 1.00, U: 0]
| | | [P1 M:5 W/V: 1028/1028 %_win: 1.00, SFB: 1.00, U: 0]
| | | [P1 M:3 W/V: 909/1016 %_win: 0.89, SFB: 0.89, U: 0]
| | | | [P2 M:0 W/V: 0/328 %_win: 0.00, SFB: -1.00, U: 0]
| | | | [P2 M:2 W/V: 57/344 %_win: 0.17, SFB: -1.00, U: 0]
| | | | [P2 M:5 W/V: 50/343 %_win: 0.15, SFB: -1.00, U: 0]
| | [P2 M:3 W/V: 227/3988 %_win: 0.06, SFB: 0.00, U: 0]
| | | [P1 M:0 W/V: 849/961 %_win: 0.88, SFB: 0.88, U: 0]
| | | | [P2 M:2 W/V: 59/313 %_win: 0.19, SFB: -1.00, U: 0]
| | | | [P2 M:6 W/V: 0/340 %_win: 0.00, SFB: -1.00, U: 0]
| | | | [P2 M:5 W/V: 52/307 %_win: 0.17, SFB: -1.00, U: 0]
| | | [P1 M:6 W/V: 902/1017 %_win: 0.89, SFB: 0.89, U: 0]
| | | | [P2 M:2 W/V: 54/347 %_win: 0.16, SFB: -1.00, U: 0]
| | | | [P2 M:5 W/V: 61/331 %_win: 0.18, SFB: -1.00, U: 0]
| | | | [P2 M:0 W/V: 0/338 %_win: 0.00, SFB: -1.00, U: 0]
| | | [P1 M:5 W/V: 1029/1029 %_win: 1.00, SFB: 1.00, U: 0]
| | | [P1 M:2 W/V: 980/980 %_win: 1.00, SFB: 1.00, U: 0]
| | [P2 M:2 W/V: 985/3903 %_win: 0.25, SFB: 0.00, U: 0]
| | | [P1 M:6 W/V: 401/739 %_win: 0.54, SFB: 0.54, U: 0]
| | | | [P2 M:0 W/V: 28/165 %_win: 0.17, SFB: -1.00, U: 0]
| | | | [P2 M:5 W/V: 63/176 %_win: 0.36, SFB: -1.00, U: 0]
| | | | [P2 M:2 W/V: 209/209 %_win: 1.00, SFB: -1.00, U: 0]
| | | | [P2 M:3 W/V: 37/188 %_win: 0.20, SFB: -1.00, U: 0]
| | | [P1 M:5 W/V: 831/831 %_win: 1.00, SFB: 1.00, U: 0]
| | | [P1 M:3 W/V: 468/786 %_win: 0.60, SFB: 0.60, U: 0]
| | | | [P2 M:2 W/V: 177/177 %_win: 1.00, SFB: -1.00, U: 0]
| | | | [P2 M:0 W/V: 40/184 %_win: 0.22, SFB: -1.00, U: 0]
| | | | [P2 M:6 W/V: 31/224 %_win: 0.14, SFB: -1.00, U: 0]
| | | | [P2 M:5 W/V: 69/200 %_win: 0.34, SFB: -1.00, U: 0]
| | | [P1 M:0 W/V: 449/777 %_win: 0.58, SFB: 0.58, U: 0]
| | | | [P2 M:3 W/V: 33/178 %_win: 0.19, SFB: -1.00, U: 0]
| | | | [P2 M:6 W/V: 36/199 %_win: 0.18, SFB: -1.00, U: 0]
| | | | [P2 M:5 W/V: 43/183 %_win: 0.23, SFB: -1.00, U: 0]
| | | | [P2 M:2 W/V: 216/216 %_win: 1.00, SFB: -1.00, U: 0]
| | | [P1 M:2 W/V: 769/769 %_win: 1.00, SFB: 1.00, U: 0]
| [P1 M:3 W/V: 17203/19934 %_win: 0.86, SFB: 1.00, U: 0]
| | [P2 M:6 W/V: 380/4824 %_win: 0.08, SFB: 0.00, U: 0]
| | | [P1 M:0 W/V: 1422/1633 %_win: 0.87, SFB: 0.87, U: 0]
| | | | [P2 M:5 W/V: 211/802 %_win: 0.26, SFB: -1.00, U: 0]
| | | | [P2 M:2 W/V: 0/830 %_win: 0.00, SFB: -1.00, U: 0]
| | | [P1 M:5 W/V: 1613/1613 %_win: 1.00, SFB: 1.00, U: 0]
| | | [P1 M:2 W/V: 1408/1577 %_win: 0.89, SFB: 0.89, U: 0]
| | | | [P2 M:0 W/V: 0/512 %_win: 0.00, SFB: -1.00, U: 0]
| | | | [P2 M:2 W/V: 84/531 %_win: 0.16, SFB: -1.00, U: 0]
| | | | [P2 M:5 W/V: 85/533 %_win: 0.16, SFB: -1.00, U: 0]
| | [P2 M:5 W/V: 1674/4923 %_win: 0.34, SFB: 0.00, U: 0]
| | | [P1 M:6 W/V: 659/1255 %_win: 0.53, SFB: 0.53, U: 0]
| | | | [P2 M:0 W/V: 114/407 %_win: 0.28, SFB: -1.00, U: 0]
| | | | [P2 M:2 W/V: 66/432 %_win: 0.15, SFB: -1.00, U: 0]
| | | | [P2 M:5 W/V: 415/415 %_win: 1.00, SFB: -1.00, U: 0]
| | | [P1 M:0 W/V: 642/1197 %_win: 0.54, SFB: 0.54, U: 0]
| | | | [P2 M:6 W/V: 99/417 %_win: 0.24, SFB: -1.00, U: 0]
| | | | [P2 M:5 W/V: 393/393 %_win: 1.00, SFB: -1.00, U: 0]
| | | | [P2 M:2 W/V: 63/386 %_win: 0.16, SFB: -1.00, U: 0]
| | | [P1 M:5 W/V: 1248/1248 %_win: 1.00, SFB: 1.00, U: 0]
| | | [P1 M:2 W/V: 700/1222 %_win: 0.57, SFB: 0.57, U: 0]
| | | | [P2 M:0 W/V: 57/332 %_win: 0.17, SFB: -1.00, U: 0]
| | | | [P2 M:6 W/V: 53/297 %_win: 0.18, SFB: -1.00, U: 0]
| | | | [P2 M:5 W/V: 318/318 %_win: 1.00, SFB: -1.00, U: 0]
| | | | [P2 M:2 W/V: 94/274 %_win: 0.34, SFB: -1.00, U: 0]
| | [P2 M:0 W/V: 413/5180 %_win: 0.08, SFB: 0.00, U: 0]
| | | [P1 M:2 W/V: 1547/1740 %_win: 0.89, SFB: 0.89, U: 0]
| | | | [P2 M:6 W/V: 0/584 %_win: 0.00, SFB: -1.00, U: 0]
